"subclass"	"n_samp_obs"	"cladeA_MA"	"cladeF_MA"	"cladeG_MA"	"cladeH_MA"	"cladeI_MA"	"cladeJ_MA"	"FC_cladeF_V_cladeA"	"FC_cladeG_V_cladeA"	"FC_cladeH_V_cladeA"	"FC_cladeI_V_cladeA"	"FC_cladeJ_V_cladeA"	"FC_cladeG_V_cladeF"	"FC_cladeH_V_cladeF"	"FC_cladeI_V_cladeF"	"FC_cladeJ_V_cladeF"	"FC_cladeH_V_cladeG"	"FC_cladeI_V_cladeG"	"FC_cladeJ_V_cladeG"	"FC_cladeI_V_cladeH"	"FC_cladeJ_V_cladeH"	"FC_cladeJ_V_cladeI"	"tuk_cladeF_cladeA_diff"	"tuk_cladeF_cladeA_p"	"tuk_cladeG_cladeA_diff"	"tuk_cladeG_cladeA_p"	"tuk_cladeH_cladeA_diff"	"tuk_cladeH_cladeA_p"	"tuk_cladeI_cladeA_diff"	"tuk_cladeI_cladeA_p"	"tuk_cladeJ_cladeA_diff"	"tuk_cladeJ_cladeA_p"	"tuk_cladeG_cladeF_diff"	"tuk_cladeG_cladeF_p"	"tuk_cladeH_cladeF_diff"	"tuk_cladeH_cladeF_p"	"tuk_cladeI_cladeF_diff"	"tuk_cladeI_cladeF_p"	"tuk_cladeJ_cladeF_diff"	"tuk_cladeJ_cladeF_p"	"tuk_cladeH_cladeG_diff"	"tuk_cladeH_cladeG_p"	"tuk_cladeI_cladeG_diff"	"tuk_cladeI_cladeG_p"	"tuk_cladeJ_cladeG_diff"	"tuk_cladeJ_cladeG_p"	"tuk_cladeI_cladeH_diff"	"tuk_cladeI_cladeH_p"	"tuk_cladeJ_cladeH_diff"	"tuk_cladeJ_cladeH_p"	"tuk_cladeJ_cladeI_diff"	"tuk_cladeJ_cladeI_p"	"f_stat"	"sum_of_sq"	"p_val"	"adj_p_val"	"sample_type_DA"
"Fatty Acyls"	152	0.00348417175190069	0.00679968319130481	0.00395969277152216	0.00635420781180191	0.00828745221513303	0.00747804477205078	0.964651787137834	0.184572754228533	0.86689653038346	1.25011290357246	1.1018453656309	-0.780079032909301	-0.0977552567543737	0.285461116434625	0.137193578493063	0.682323776154927	1.06554014934393	0.917272611402364	0.383216373188999	0.234948835247437	-0.148267537941562	0.00922571077968074	0.361855255725893	-0.00163520026540401	0.999511514236165	0.00717308720463465	0.0555362423506789	0.0041304204042341	0.880185421238948	0.00931240334169157	0.00231110775888976	-0.0108609110450847	0.48987675457948	-0.00205262357504608	0.997033669319192	-0.00509529037544663	0.921037056207877	8.66925620108382e-05	0.999999999516992	0.00880828747003867	0.427065651578824	0.00576562066963812	0.899105590336487	0.0109476036070956	0.182059984853783	-0.00304266680040055	0.942316303530614	0.00213931613705692	0.80687900029527	0.00518198293745747	0.603606780918005	3.94380035186725	0.00203263690067685	0.00201717199971027	0.0134995356903687	"cladeJ"
"Diazines"	82	0.000293613221587233	0.000333798207324477	1.49379981115723e-05	0.000450581158449161	0.000849173996767592	0.000625592835785389	0.18505927156964	-4.29685820904201	0.617870051836536	1.53214325890227	1.09130705606315	-4.48191748061165	0.432810780266896	1.34708398733263	0.906247784493514	4.91472826087855	5.82900146794428	5.38816526510516	0.91427320706573	0.473437004226618	-0.440836202839113	0.000913780885582182	0.999654778421883	-0.00112849579676142	0.999322742590528	0.00473906889350095	0.0462542873171646	0.000716220881132921	0.999691086371567	0.00457525362789854	0.0444626870920489	-0.0020422766823436	0.995554683165266	0.00382528800791877	0.748117874566105	-0.000197560004449261	0.999999894477522	0.00366147274231636	0.771734954544099	0.00586756469026237	0.390222591735779	0.00184471667789434	0.995252766916658	0.00570374942465996	0.410178793430492	-0.00402284801236803	0.421286946155266	-0.000163815265602407	0.999989516331082	0.00385903274676562	0.443237032162456	3.22645051582703	0.000692591020662495	0.00811280334918595	0.0441133682111986	"cladeHcladeJ"
"Isoindoles and derivatives"	3	0.0004036874992151	0	0	0	0	0	-Inf	-Inf	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0071844979308907	0.158447283418393	-0.00718449793089069	0.224878444922095	-0.00718449793089069	0.000202520311198939	-0.0071844979308907	0.0353030848254148	-0.00718449793089069	9.36891163422215e-05	2.71050543121376e-18	1	4.3581372572696e-18	1	-8.42720779522824e-18	1	8.67361737988404e-18	1	1.64763182605584e-18	1	-1.1137713226442e-17	1	5.96311194867027e-18	1	-1.27853450524978e-17	1	4.31548012261443e-18	1	1.71008251751123e-17	1	4.79304417930265	0.00100477510528555	0.000382562142297406	0.00369810070887493	"cladeA"
"Organic thiophosphoric acids and derivatives"	48	0.000169662173557958	0.000170407545057278	0.000175008082211232	3.7876824370434e-05	0	2.17572524864247e-05	0.00632426487181969	0.0447566003818988	-2.16327766561498	-Inf	-2.96309666049687	0.0384323355100791	-2.1696019304868	-Inf	-2.96942092536869	-2.20803426599688	-Inf	-3.00785326087877	-Inf	-0.799818994881886	Inf	0.000466981489905151	0.999971529415264	0.000756043336074695	0.9997853390025	-0.0077661612878976	1.00860694141058e-06	-0.0101567910937108	2.39762695349865e-05	-0.00856131231664929	1.39057970693912e-08	0.000289061846169544	0.999999331570922	-0.00823314277780275	0.00849478210866506	-0.010623772583616	0.00296636899866876	-0.00902829380655444	0.00221238814649993	-0.0085222046239723	0.014545476810322	-0.0109128344297855	0.00463322590237214	-0.00931735565272399	0.00457302307963636	-0.00239062980581324	0.77676519221231	-0.000795151028751692	0.956358532592184	0.00159547877706155	0.946725380562536	13.4030596638945	0.00206588430771433	3.73180310253625e-11	3.24666869920653e-09	"cladeAcladeFcladeG"
"Tannins"	16	0.00105215594143969	0.00127610326028314	0.00104858046590999	0.0013024860892251	0.000618043267973224	0.00115046567817705	0.278396530216725	-0.00491096910438233	0.307919420116074	-0.767568797266869	0.128869400068016	-0.283307499321107	0.0295228898993496	-1.04596532748359	-0.149527130148709	0.312830389220457	-0.762657828162487	0.133780369172398	-1.07548821738294	-0.179050020048059	0.896438197334885	-0.000219714047094137	0.999999817824454	0.00726187025905386	0.325994787812607	0.0021859219371352	0.826118310736553	0.00158883964472811	0.991085337587373	0.00149109417458941	0.953850123516473	0.007481584306148	0.522736243390429	0.00240563598422934	0.970432696886971	0.00180855369182225	0.996301742910016	0.00171080822168355	0.993248883571167	-0.00507594832191866	0.654531121041406	-0.00567303061432575	0.689343139580115	-0.00577077608446445	0.505515873836724	-0.000597082292407085	0.999856600754589	-0.000694827762545788	0.992447580187683	-9.77454701387031e-05	0.999999980430244	0.996039882756129	0.000258061703626659	0.421522541370407	0.591491308052023	"NA"
"Depsides and depsidones"	36	1.72274665760997e-05	0	0	0.000123186445696538	7.30978199835387e-05	9.94518891053582e-05	-Inf	-Inf	2.83806106036747	2.08511782253455	2.52928821716188	NA	Inf	Inf	Inf	Inf	Inf	Inf	-0.752943237832918	-0.308772843205584	0.444170394627334	-0.00146566292563591	0.999320605076043	-0.00146566292563587	0.999523907765936	0.00184191272681614	0.965486290004504	0.00135867895246605	0.998628286232331	0.00190942923379247	0.952358713963474	3.46944695195361e-17	1	0.00330757565245205	0.958575125537229	0.00282434187810195	0.990334990354762	0.00337509215942838	0.952329211864762	0.00330757565245201	0.97105942852735	0.00282434187810192	0.992700484859883	0.00337509215942835	0.966860431035206	-0.000483233774350093	0.999984651002019	6.75165069763343e-05	0.999999976226063	0.000550750281326427	0.999967108709658	0.399970134917619	0.000167367798992628	0.848427565301586	0.945848800087732	"NA"
"Keto acids and derivatives"	27	0.000152688567244608	0.000310895510458317	0	6.26361819884209e-05	7.32121873860854e-06	2.96427791832188e-05	1.02583774082807	-Inf	-1.28552386209479	-4.38236440320078	-2.36483942234669	-Inf	-2.31136160292286	-5.40820214402886	-3.39067716317476	Inf	Inf	Inf	-3.09684054110599	-1.0793155602519	2.0175249808541	0.00444840980063748	0.704758176378081	-0.00914006677817078	0.0716581723506654	-0.00687741730696692	0.000823534422776828	-0.00832423394762959	0.0122937116586634	-0.00838283533638332	7.11818949616916e-06	-0.0135884765788083	0.0129021693426002	-0.0113258271076044	0.0016102592962246	-0.0127726437482671	0.00327150699478862	-0.0128312451370208	0.000159135791036213	0.00226264947120386	0.978877738574417	0.000815832830541191	0.999920035565776	0.000757231441787463	0.99987860669099	-0.00144681664066267	0.98628442138761	-0.0015054180294164	0.763761726766707	-5.86013887537277e-05	0.999999997867185	8.99423603570888	0.00203325217116628	1.14322249601342e-07	4.97301785765839e-06	"cladeAcladeF"
"Flavonoids"	105	0.0158047434388307	0.00295990037620056	0.0055313134531245	0.00780606131757112	0.00472358089359068	0.0123674482648938	-2.41673709209973	-1.51466361057169	-1.01769091543025	-1.74240474554722	-0.353809751436815	0.902073481528041	1.39904617666948	0.674332346552509	2.06292734066291	0.496972695141437	-0.227741134975532	1.16085385913487	-0.724713830116969	0.663881163993434	1.3885949941104	-0.00394791894775325	0.969266938174394	-0.00398442972861743	0.976733782241499	0.00011640716748022	0.99999997893565	-0.00325180435351534	0.965485537034092	0.00477364849515173	0.444714983093936	-3.65107808641824e-05	0.99999999999932	0.00406432611523347	0.952417019503095	0.000696114594237911	0.999995485334752	0.00872156744290499	0.406058628531039	0.00410083689609765	0.965323133431904	0.000732625375102094	0.999995698928055	0.00875807822376917	0.500496593029874	-0.00336821152099556	0.934069835139866	0.00465724132767151	0.113183056768079	0.00802545284866707	0.197616842642017	2.79062635406138	0.00165074251219387	0.018659229220497	0.0649341176873294	"NA"
"Azacyclic compounds"	79	0.000121612590385513	0.000202543476069268	2.46982766866644e-06	0.000174636302819968	0.000199570298179784	0.000123956006479313	0.735939019764982	-5.62173840474071	0.522060896078563	0.714604425229163	0.0275355843676404	-6.3576774245057	-0.213878123686419	-0.0213345945358193	-0.708403435397341	6.14379930081928	6.33634282996988	5.64927398910835	0.1925435291506	-0.494525311710922	-0.687068840861522	0.00341799865900762	0.982931578710578	-0.00430424688493169	0.965911938503641	0.000416783864434802	0.999987097098562	0.00305854394236848	0.972274532479501	-0.000290036229307569	0.999997409977921	-0.0077222455439393	0.843585011276936	-0.00300121479457281	0.986759041626634	-0.000359454716639134	0.999999824071796	-0.00370803488831519	0.964306369367935	0.00472103074936649	0.934727267343059	0.00736279082730017	0.801792499251342	0.00401421065562412	0.965265293783574	0.00264176007793368	0.975324046623447	-0.000706820093742371	0.998782814813598	-0.00334858017167605	0.926359713738691	0.479559299496124	0.000277721096073371	0.791231951136185	0.930232158768218	"NA"
"Cinnamic acids and derivatives"	31	0.0006852425221179	0.000735005523803902	0.000670003776509424	0.00815148168888502	0.000687816345261057	0.00617830605082161	0.101140412946008	-0.0324454519476454	3.57237573633042	0.00540872110031611	3.17252475412779	-0.133585864893654	3.47123532338441	-0.0957316918456925	3.07138434118178	3.60482118827807	0.0378541730479615	3.20497020607543	-3.56696701523011	-0.399850982202637	3.16711603302747	-0.00273406704817947	0.975041937580448	-0.00273406704817946	0.981929691696012	-0.000581812261388654	0.999690695522857	-0.00273406704817947	0.936388648116507	0.000909912879847424	0.996740662694333	1.38777878078145e-17	1	0.00215225478679082	0.988099493239027	-1.18276600634782e-18	1	0.00364397992802689	0.884007719744604	0.0021522547867908	0.991891102220839	-1.50605538141623e-17	1	0.00364397992802688	0.916633790543984	-0.00215225478679082	0.961308096404231	0.00149172514123608	0.869273850028061	0.00364397992802689	0.70239902039487	0.816005947957865	0.000254721641277057	0.539632163776256	0.685070515063008	"NA"
"Imidolactams"	20	2.40248536173715e-06	0	0	3.60806969687912e-05	0.000904516232077252	4.25393281389494e-05	-Inf	-Inf	3.90862766147544	8.55647494213369	4.14619770188007	NA	Inf	Inf	Inf	Inf	Inf	Inf	4.64784728065826	0.237570040404628	-4.41027724025363	-0.000441686763566919	0.999996621564573	-0.000441686763566898	0.999997651859817	0.00116334258306381	0.992220140615578	0.0173084617209054	3.89988488724846e-07	0.00117933143468003	0.990035351854472	2.16840434497101e-17	1	0.00160502934663072	0.997240549812541	0.0177501484844723	0.000335256359091485	0.00162101819824695	0.9969204164681	0.0016050293466307	0.998149302528423	0.0177501484844723	0.000924868609649465	0.00162101819824693	0.997953016408438	0.0161451191378416	8.38938924996313e-08	1.59888516162224e-05	0.999999999966651	-0.0161291302862254	4.14857990183037e-08	8.7082488955021	0.00282900403448098	1.96168349947284e-07	5.68888214847123e-06	"cladeI"
"Linear 1,3-diarylpropanoids"	57	3.5417612243738e-05	0	1.45436461314711e-06	8.89527220620909e-05	0.000310681864579112	9.28255969705064e-05	-Inf	-4.6060060456381	1.32857180149313	3.13289917151357	1.39005573531538	Inf	Inf	Inf	Inf	5.93457784713123	7.73890521715167	5.99606178095348	1.80432737002044	0.0614839338222508	-1.74284343619819	-0.00198148860405348	0.996123842433086	-0.00144216159036791	0.999406858942523	0.00225994629834669	0.897924554033085	0.00333603328590621	0.900205190834909	0.00332987319371413	0.58660241809113	0.000539327013685567	0.999998312763872	0.00424143490240017	0.858682653203503	0.00531752188995969	0.827810698528058	0.00531136179776761	0.688920616548274	0.0037021078887146	0.93968610573701	0.00477819487627412	0.907478621345323	0.00477203478408205	0.833747791912095	0.00107608698755952	0.998933285122873	0.00106992689536744	0.976259003714841	-6.16009219207587e-06	1	1.07904357577316	0.000399472235400367	0.373437053501949	0.532606945158517	"NA"
"Diarylheptanoids"	13	0	8.25239133879296e-07	0	5.66782040452624e-05	0.00126221049592772	6.20142098887157e-06	Inf	NA	Inf	Inf	Inf	-Inf	6.10183799700559	10.5788526675893	2.90971468904443	Inf	Inf	Inf	4.47701467058368	-3.19212330796116	-7.66913797854484	0.000370863967855673	0.999999173490822	-2.45423946317173e-17	1	0.00152925608072314	0.983422158436115	0.0161076986246597	3.65157249091475e-05	0.000450122515228898	0.999943228966756	-0.000370863967855698	0.999999789200512	0.00115839211286746	0.999661190703512	0.015736834656804	0.00881447814121827	7.92585473732251e-05	0.999999999428662	0.00152925608072316	0.999127327433426	0.0161076986246597	0.0133236944677536	0.000450122515228923	0.99999781522655	0.0145784425439365	2.34849614677568e-05	-0.00107913356549424	0.979535057564367	-0.0156575761094308	2.3878489964213e-06	6.22442376169351	0.00250723078911879	2.32429367420903e-05	0.000404427099312371	"cladeI"
"Lignan glycosides"	133	0.000254667457121991	0.000248002879406327	5.80929299416352e-05	0.000514997597836825	9.1157453897804e-06	0.000402153464779111	-0.0382577445491029	-2.13218011574409	1.01595108749301	-4.8041101757488	0.659131534239017	-2.09392237119498	1.05420883204211	-4.76585243119969	0.69738927878812	3.14813120323709	-2.67193006000471	2.7913116499831	-5.8200612632418	-0.356819553253988	5.46324170998781	0.000848839320697204	0.999995262280811	-0.00601648990960643	0.95981768775482	0.00269242596532262	0.975526165439008	-0.0105417767745067	0.362279971685134	0.00193913094577993	0.993366567800576	-0.00686532923030364	0.970068616057649	0.00184358664462542	0.999682409758254	-0.0113906160952039	0.632026387277567	0.00109029162508273	0.999974654004384	0.00870891587492906	0.788366127208698	-0.0045252868649003	0.992262775125608	0.00795562085538637	0.838938362106769	-0.0132342027398294	0.0633528458659381	-0.00075329501954269	0.999607211214464	0.0124809077202867	0.0815427942272918	1.8941108224377	0.00198419859102067	0.0973037122507384	0.220801684782882	"NA"
"Furanoid lignans"	94	8.58566811051136e-05	9.64067885418841e-05	4.46366806570852e-06	0.000253387092105145	2.06300180593732e-06	0.000207046546298428	0.167204333544907	-4.26562875240922	1.56134072359895	-5.37911341546178	1.26995282776712	-4.43283308595413	1.39413639005404	-5.54631774900669	1.10274849422222	5.82696947600817	-1.11348466305256	5.53558158017634	-6.94045413906072	-0.291387895831823	6.6490662432289	-0.000730542681444074	0.999993563000606	-0.00526112192698147	0.944443268291409	0.00165171769860785	0.99301516559616	-0.00577290424346802	0.765404356576058	0.00187290749737177	0.985081177103496	-0.0045305792455374	0.987920419122978	0.00238226038005192	0.996949129181974	-0.00504236156202395	0.95792137728091	0.00260345017881584	0.995063216081754	0.00691283962558932	0.801681400715937	-0.000511782316486553	0.999999503563444	0.00713402942435324	0.771467848906839	-0.00742462194207588	0.38428195723394	0.00022118979876392	0.999997409357687	0.0076458117408398	0.324801094783354	1.20856377022018	0.000829151077438049	0.306787750263366	0.485282441325688	"NA"
"Imidazopyrimidines"	121	0.000153711233084687	0.000131088590682584	0	0.000213554766369937	0.000655453828142694	0.000332323273213041	-0.229680473974363	-Inf	0.474383498333897	2.09227155707478	1.11236473137429	-Inf	0.70406397230826	2.32195203104914	1.34204520534866	Inf	Inf	Inf	1.61788805874088	0.637981233040397	-0.979906825700481	0.00074700192545234	0.999993497676633	-0.00847656981354267	0.707902542699129	0.00072925747987373	0.999877343016104	0.0162992517699438	0.00391030988321139	0.0036087639950507	0.804332334964367	-0.00922357173899501	0.798673699958143	-1.77444455786106e-05	1	0.0155522498444915	0.111672364670766	0.00286176206959836	0.993015463780068	0.0092058272934164	0.56289377123109	0.0247758215834865	0.00227891223076293	0.0120853338085934	0.243794723988174	0.0155699942900701	0.0013878288888286	0.00287950651517697	0.703125055459377	-0.0126904877748931	0.013833957278125	4.40654243718198	0.00314813172044642	0.000816053152746636	0.00709966242889573	"cladeI"
"Organooxygen compounds"	66	0.0154839829077742	0.0142147237119138	0.00894337812243839	0.01710111127029	0.0145931939137189	0.0144810070862801	-0.123390562223747	-0.791884841183472	0.143313457659057	-0.0854809494764131	-0.0966146816040399	-0.668494278959726	0.266704019882804	0.0379096127473338	0.0267758806197067	0.93519829884253	0.706403891707059	0.695270159579432	-0.22879440713547	-0.239928139263097	-0.011133732127627	0.00796336997952368	0.468632323146777	-0.000836163291199939	0.999976529217662	0.00103082069366516	0.998079298947012	-0.00110834733658215	0.999598040415942	0.00124333283959873	0.994357642297723	-0.00879953327072362	0.656762366482742	-0.00693254928585852	0.542581671758404	-0.00907171731610584	0.430030738096239	-0.00672003713992495	0.562406659390613	0.0018669839848651	0.998354530308565	-0.000272184045382215	0.999999943000334	0.00207949613079867	0.997095146306355	-0.00213916803024731	0.984007071551379	0.000212512145933572	0.999994304797968	0.00235168017618088	0.97309436595705	0.830297825027821	0.000383288862962159	0.529622072625137	0.685070515063008	"NA"
"Allyl-type 1,3-dipolar organic compounds"	90	0.000293594140827416	0.000165873336412816	7.82442538123082e-06	0.000254631954995275	6.92312222351515e-06	0.000311164517167739	-0.823741180523352	-5.22969456109118	-0.205409695647178	-5.40625654851569	0.0838543787213652	-4.40595338056783	0.618331484876173	-4.58251536799233	0.907595559244717	5.024284865444	-0.176561987424506	5.31354893981255	-5.20084685286851	0.289264074368543	5.49011092723705	-0.00422916603549356	0.976730493711082	-0.00842535194633301	0.745246323902875	-0.000595790531090802	0.999962629624065	-0.00936646354393873	0.322559548488205	0.00225849711971189	0.973571673484466	-0.00419618591083945	0.99351437445674	0.00363337550440276	0.983560815594082	-0.00513729750844517	0.964469976648344	0.00648766315520545	0.817987597475681	0.00782956141524221	0.753475242309108	-0.000941111597605717	0.999992264185672	0.0106838490660449	0.42388274592614	-0.00877067301284793	0.263654708236583	0.00285428765080269	0.743105798137391	0.0116249606636506	0.0443747625861229	2.44683761435147	0.0018867702291427	0.0355926810948234	0.103218775174988	"cladeJ"
"Tetrahydroisoquinolines"	11	0	0	0	1.07664254203486e-05	0	0.000265203756912611	NA	NA	Inf	NA	Inf	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	4.62248997021018	Inf	-1.45085963445333e-17	1	-1.10391493925797e-17	1	0.000420163574767165	0.999987381701157	-1.04083408558608e-17	1	0.00422065673908265	0.585771140046577	3.46944695195361e-18	1	0.00042016357476718	0.99999915517119	4.10025548867245e-18	1	0.00422065673908266	0.941716181665263	0.000420163574767176	0.999999443516211	6.30808536718839e-19	1	0.00422065673908266	0.959230390993931	-0.000420163574767176	0.999996798829736	0.00380049316431548	0.300613513400537	0.00422065673908266	0.831840020748027	1.26650180039191	0.000752113567972229	0.280215845591945	0.457617101710603	"NA"
"Dithioles"	132	9.22661477468671e-05	0.000174942774982276	0.000111187265829471	0.000218963776512244	5.45957304921198e-05	0.00024660489175805	0.923009755158198	0.269118238723132	1.24681889415621	-0.757013289625684	1.41832808960335	-0.653891516435066	0.323809138998017	-1.68002304478388	0.495318334445157	0.977700655433083	-1.02613152834882	1.14920985088022	-2.0038321837819	0.17150919544714	2.17534137922904	0.00659723774830422	0.57292063691773	0.00132566240394018	0.999634059573559	0.00660716139926742	0.0316675161527487	0.000997431960652927	0.999616818451914	0.00734217620250587	0.00710404360485273	-0.00527157534436405	0.918432850118059	9.92365096319676e-06	1	-0.0055998057876513	0.804349668369941	0.000744938454201646	0.999953009097059	0.00528149899532725	0.784638245869978	-0.000328230443287249	0.999999765763975	0.00601651379856569	0.666146923443801	-0.00560972943861449	0.368738295288079	0.000735014803238449	0.996018247180052	0.00634474424185294	0.212126014291812	3.51640993843354	0.00134061380355453	0.00463307454625571	0.0272709165275548	"cladeHcladeJ"
"Heteroaromatic compounds"	139	3.46473093205093e-05	0.000409902515620678	0.00033313494394516	0.000360211072866565	0.000697279586464353	0.000281090649020131	3.56446562059101	3.26529146898534	3.37802730688346	4.33092202254691	3.02022023730213	-0.299174151605677	-0.186438313707552	0.7664564019559	-0.544245383288888	0.112735837898125	1.06563055356158	-0.245071231683211	0.952894715663452	-0.357807069581336	-1.31070178524479	0.0118525738485113	0.408626893612473	0.013648698691888	0.330339151929808	0.0073800272332733	0.249797086199381	0.015149568173306	0.033734200185121	0.00745460886480468	0.200428540826202	0.0017961248433767	0.999930919125424	-0.00447254661523796	0.972265432129912	0.00329699432479475	0.996857365582339	-0.00439796498370658	0.972700322086361	-0.00626867145861466	0.919972970865113	0.00150086948141805	0.999949639798226	-0.00619408982708329	0.920237144703529	0.00776954094003271	0.503091129697302	7.45816315313765e-05	0.999999994575989	-0.00769495930850133	0.488117775172155	2.36188630273811	0.00217843821096496	0.0416666207831694	0.114202131435743	"cladeI"
"2-arylbenzofuran flavonoids"	21	1.70097608592169e-06	7.20988362271642e-06	0	1.22192989485222e-05	0	0.000396131677009156	2.08361311435551	-Inf	2.84472675317951	-Inf	7.86347340372875	-Inf	0.761113638823993	-Inf	5.77986028937323	Inf	NA	Inf	-Inf	5.01874665054924	Inf	0.00124974430144539	0.999956607965712	-0.00027806125093898	0.99999998321584	0.000733426179708339	0.999934466472044	-0.000278061250938997	0.999999927096929	0.00264681689476227	0.965101111482856	-0.00152780555238437	0.99996974836554	-0.000516318121737056	0.99999923138297	-0.00152780555238439	0.999927457930305	0.00139707259331688	0.999884318329179	0.00101148743064732	0.999985547163941	-1.71501070920434e-17	1	0.00292487814570125	0.997227763103866	-0.00101148743064734	0.999917744827704	0.00191339071505394	0.960119948158312	0.00292487814570127	0.985078073839429	0.267095365767963	0.000248768443435949	0.930611517463631	0.966886575522995	"NA"
"Alkyl halides"	170	0.000525419389547423	0.0005719408664599	8.67851991455164e-05	0.00115644235645731	0.000174990189987578	0.00120797487783603	0.122396551808982	-2.59794851809036	1.13815200946204	-1.58619539489085	1.20104910502336	-2.72034506989935	1.01575545765305	-1.70859194669983	1.07865255321438	3.7361005275524	1.01175312319951	3.79899762311373	-2.72434740435289	0.0628970955613268	2.78724449991421	0.00207305333447368	0.999870634162798	-0.0109031644721229	0.830366527873371	0.0110038581329986	0.148845179417318	-0.00560807470814548	0.960282375932396	0.0111597999796259	0.109119359385763	-0.0129762178065966	0.845630270008569	0.00893080479852488	0.859610614728232	-0.00768112804261916	0.960857619190067	0.00908674664515222	0.843292744991033	0.0219070226051215	0.103755869059108	0.00529508976397743	0.994392915431185	0.0220629644517488	0.0924271488000989	-0.016611932841144	0.0629007389131445	0.000155941846627341	0.999999949199625	0.0167678746877714	0.0493102779005111	4.15918341156881	0.00685145960638551	0.00132432052908932	0.00960132383589754	"cladeJ"
"Pteridines and derivatives"	139	0.000128608574642856	2.56812242786067e-05	8.81705175575764e-05	0.000381177043000367	0.000326385289220896	0.000491276876913466	-2.32420094826459	-0.544618600406491	1.567474399419	1.34358920006386	1.93354950307684	1.7795823478581	3.89167534768359	3.66779014832846	4.25775045134143	2.11209299982549	1.88820780047035	2.47816810348333	-0.223885199355132	0.366075103657844	0.589960303012976	-0.00353543759926828	0.995165539381339	-0.00116595164629957	0.999984934124722	0.00540984030749674	0.67430556160436	0.00538668730112358	0.918819314957526	0.0094307532345396	0.0811786817248642	0.00236948595296872	0.999813418636166	0.00894527790676502	0.710439017969037	0.00892212490039186	0.836387833612448	0.0129661908338079	0.293818167008115	0.00657579195379631	0.928371851172226	0.00655263894742315	0.96174399950385	0.0105967048808392	0.617714797774549	-2.31530063731604e-05	0.999999999999745	0.00402091292704286	0.573368778713272	0.00404406593341602	0.954927140338395	2.4493207562678	0.00262802130172008	0.0354286593936626	0.103218775174988	"NA"
"Purine nucleosides"	171	0.00197945070735588	0.000691047827059074	0.00136687623433076	0.0010133561497497	0.00137572188290887	0.00103408299756747	-1.51824267420754	-0.534217523487733	-0.96595883496654	-0.524911298483328	-0.936748157672665	0.984025150719808	0.552283839241002	0.993331375724213	0.581494516534876	-0.431741311478807	0.00930622500440486	-0.402530634184932	0.441047536483212	0.0292106772938743	-0.411836859189337	-0.0081332877821499	0.957374234250257	0.0091711943586367	0.948082594622969	0.00128406197025763	0.999868641692698	-0.00857459928397998	0.873155476401704	0.00520635797755183	0.90022322650913	0.0173044821407866	0.740896500893661	0.00941734975240753	0.896314000482557	-0.000441311501830072	0.999999981585238	0.0133396457597017	0.650565566988911	-0.00788713238837907	0.964144326584286	-0.0177457936426167	0.60941448957406	-0.00396483638108487	0.998400823586384	-0.0098586612542376	0.696360977240943	0.0039222960072942	0.8688379659543	0.0137809572615318	0.3058472646327	1.43680808696027	0.00309521219715635	0.212958680664061	0.378110310566802	"NA"
"Organic sulfonic acids and derivatives"	117	0.000142810494490751	0.000119831219296332	0.000218497143856994	0.000540957681440917	0.000608019424376828	0.000597463316303474	-0.253098181882126	0.613512420951079	1.9214137375981	2.0900154138072	2.0647481353383	0.866610602833205	2.17451191948023	2.34311359568932	2.31784631722042	1.30790131664702	1.47650299285612	1.45123571438722	0.168601676209095	0.143334397740195	-0.0252672784688998	-0.0005956322722849	0.999999605673891	0.00211420841752615	0.999850852630502	0.00715446524499682	0.519904904100487	0.0106563521976161	0.516398516142515	0.00905332121494719	0.213248694900914	0.00270984068981105	0.999811529719391	0.00775009751728172	0.887482487801124	0.011251984469901	0.770231427704055	0.00964895348723209	0.746775792077845	0.00504025682747067	0.98709720249556	0.00854214378008994	0.933520084967339	0.00693911279742104	0.945532849992704	0.00350188695261927	0.987860899032867	0.00189885596995036	0.984128723353001	-0.00160303098266891	0.999673204618527	1.47008232165277	0.00205459111672901	0.201582320939919	0.373141743016445	"NA"
"Hydroxy acids and derivatives"	66	8.75269257612162e-05	0.00147939538021095	0.000168609175059258	0.00049569603789827	0.00038264557058362	0.00122702143450954	4.0791369664201	0.94588424011133	2.50165692319362	2.12820989526536	3.8092897419728	-3.13325272630877	-1.57748004322647	-1.95092707115473	-0.269847224447296	1.55577268308229	1.18232565515403	2.86340550186147	-0.37344702792826	1.30763281877918	1.68107984670744	0.00443182618332258	0.986536809963912	-0.00257625631321386	0.99926518576761	0.00321200606334359	0.951337440121886	-0.00257625631321393	0.996980593258768	0.0129533927871651	0.00400341543763372	-0.00700808249653644	0.969481017512208	-0.00121982011997899	0.999961746035867	-0.00700808249653651	0.935913502830593	0.00852156660384256	0.743709272192041	0.00578826237655745	0.958390135124106	-6.5761789952939e-17	1	0.015529649100379	0.20136228724011	-0.00578826237655752	0.835799244610654	0.00974138672382155	0.00149719657901759	0.0155296491003791	0.0146628203421693	6.00756364440035	0.00649911269334619	3.54783230518255e-05	0.00051443568425147	"cladeJ"
